user_id,/features/mobile,/,/about,/features/web,/tutorial/intro,/tutorial/step-one,/signup,/features,/tutorial/step-two,/features/desktop,/tutorial/step-three,/pricing,/tutorial/step-four,/tutorial/end
240,16,1,,,,,9,,,3,,,,
190,,16,,,,,,9,,,,,,
39,2,2,2,2,,,2,,,2,,,,
207,,18,,,,,9,,,,,15,,
408,,17,,,,,,,,,,,,
316,,10,,5,1,1,1,,13,,15,,17,6
454,18,9,,,1,4,10,6,12,,17,,15,6
254,,1,,,,,,2,,,,,,
2,,14,,11,20,16,2,,1,,4,18,13,5
457,,18,,2,12,14,11,20,10,,16,,19,15
440,8,16,,,17,18,16,20,11,17,12,,19,15
370,17,7,,,12,14,17,1,14,,,,,
158,,2,,4,6,19,8,20,10,,13,,4,16
163,,15,,,15,16,10,,8,,1,,4,9
386,,8,,2,16,11,17,,15,,20,,8,11
322,,1,,,,,2,,,1,,,,
52,1,2,,,,,1,1,,1,,,,
108,,17,,,11,4,10,,13,,7,,9,10
321,2,1,,,,,2,,,2,,,,
447,,19,,,19,12,15,,1,,20,,13,14
394,,3,13,,16,1,5,,9,,,,,
29,,5,,5,7,3,15,,12,,2,8,,
264,,17,,14,15,6,13,,,5,,,,
389,,1,,,,,2,2,,2,,,,
253,,15,,17,11,7,11,,1,17,,,,
5,3,16,,,4,6,12,,10,,11,,20,13
280,,19,,10,,,,,,,,,,
402,,6,,19,,,10,,,3,,13,,
208,,20,,,4,6,14,,3,,,,,
144,6,14,,,,,,,,,,,,
91,,20,,,18,20,15,,,18,,,,
362,,3,7,,3,2,15,,13,,20,17,14,
372,18,12,,,9,20,6,,10,14,13,,16,
140,,20,,,8,7,12,,,,,,,
28,,12,,,,,,,,,,,,
380,14,4,,,,,,,,,,,,
382,2,13,20,,,,5,,,,,,,
355,,16,,,14,16,11,,12,7,11,,9,7
534,,12,,10,12,14,17,,13,,8,,9,3
482,,8,,,4,9,8,19,2,10,19,,2,15
563,,3,,16,,,,,,14,,,,
516,13,16,,,17,,11,,,16,,,,
542,,20,,,,,,,,,,,,
528,,20,,,,,,,,,,,,
467,20,19,,,4,16,17,,13,,7,,4,14
507,,11,,11,14,15,20,,13,,18,,20,9
596,,1,,,16,9,2,,,,,,,
514,,8,,,13,12,18,,1,,3,,20,3
522,20,14,,,13,6,10,2,4,,9,,12,17
478,,6,,,10,4,2,,2,,8,,12,
499,,8,,,,,,9,,,,,,
466,13,2,,,19,19,4,,8,,,,,
530,,10,,10,18,8,20,,,,,,,
611,,7,,15,17,18,12,,6,,,,,
512,14,15,,,,,,,,12,,,,
632,,20,,,5,18,17,,1,,4,,,
557,,5,,17,4,10,4,,18,,19,,13,16
524,,8,,,7,1,20,13,,,,,,
532,,3,,,,,,20,,,,,,
594,,9,,19,5,9,16,4,17,,,,,
581,,8,,,20,,7,,,,,,,
597,14,5,,,14,4,9,,19,13,7,,3,7
500,,20,,13,,,,5,,,,5,,
529,,11,,,,,5,,,,,,,
589,,17,6,7,10,19,2,,16,,2,,15,11
559,1,2,,,,,1,,,1,,,,
521,,9,,15,11,18,4,,4,11,11,,,
621,18,2,,19,18,6,6,10,11,8,6,,7,5
568,,18,,,3,11,9,,5,19,,,,
592,,11,,14,,,7,,,,,,,
490,,11,4,16,17,15,18,20,,14,,,,
475,,14,,,11,6,13,,15,,9,,12,10
588,13,14,,9,,,2,8,,,,,,
628,,4,,6,11,1,18,11,8,,3,,20,15
572,,3,,,7,15,3,,7,,15,,,
552,,11,,4,2,,15,,,,,5,,
554,,13,,20,16,4,3,,15,,,,,
496,,9,,,13,19,6,,18,,14,,19,
465,3,6,,,,,17,,,,,,,
625,15,1,,,6,1,20,,,,,,,
547,,16,,14,6,19,15,20,16,,,,,
620,20,5,,,12,4,3,,15,,3,,8,13
558,,16,,13,2,7,2,,8,,6,,15,17
556,,1,,,,,1,1,,,,,,
642,,13,,,,,16,,,3,,,,
539,,19,,,,,,,,,,,,
553,,19,,,,,,,,,,,,
543,,11,5,,10,18,20,,16,9,16,,8,
549,7,9,,,18,6,17,,3,,17,,11,10
548,,20,,6,,,8,,,11,,,,
535,,13,,,4,20,18,,19,,18,,8,11
513,,4,,,8,11,13,,18,7,16,,4,
591,,7,,,11,5,4,,7,19,15,,19,7
515,,13,,,,,,,,,,,,
508,3,15,,1,,,,,,,,,,
648,,5,,2,5,2,7,,,,,,,
479,,19,,,11,6,15,,3,16,17,,1,8
468,3,20,,20,,,6,,,,,,,
634,8,19,,,4,13,8,,6,,7,,17,9
493,,12,,,17,9,16,,12,,1,,2,18
647,14,19,,15,9,15,7,19,6,,,,,
538,7,17,,,,,4,,,5,,,,
622,,1,,,15,5,9,14,14,,11,,,
506,,1,,,,,2,,,2,,,,
615,,13,,,13,7,14,,19,1,11,14,,
480,,9,,9,6,2,1,,1,,3,,18,20
470,,20,,,7,14,16,,,,,,,
469,,5,,,16,13,5,,17,,4,,6,6
505,,2,,,,,2,,,,,,,
562,6,7,,6,12,18,4,3,,4,,,,
606,20,19,,,20,17,5,,1,,6,,,
525,19,20,,9,11,,2,16,,9,,,,
569,20,6,,9,,,,,,4,,,,
626,18,2,,,13,11,3,,16,,17,1,20,11
640,,5,,,1,10,13,,7,4,,16,,
587,,16,,,17,20,7,,10,20,10,9,1,11
566,,8,,2,14,12,19,,3,,20,,12,4
551,1,1,,2,,,1,1,,2,,,,
533,17,2,,14,9,9,8,,16,4,12,,20,5
536,,2,,,15,,4,6,,,,1,,
537,18,12,,,16,8,14,,6,6,19,,,
545,,1,,,,,,,,,,,,
486,4,5,,,8,9,12,,12,,,,,
498,,2,,,,,2,1,,,,,,
586,,11,,7,,,7,18,,2,,,,
595,20,3,,10,17,8,17,,18,,20,,5,10
645,8,9,,,7,18,17,,12,,7,,17,4
476,,11,,5,,,1,,,,,,,
555,,14,,,17,10,11,,6,,6,,1,3
541,,15,,5,19,,17,12,,19,,,,
567,,1,6,,,,17,,,11,,,,
526,,17,,,15,2,2,7,18,1,8,14,20,
546,,12,,,,,,,,,,,,
579,4,13,,,9,19,3,,3,,9,,1,17
603,,9,,,6,3,19,,6,8,2,16,2,
608,,12,,,9,11,7,,10,,2,,20,12
544,,20,,,15,4,20,,17,17,5,,10,11
600,9,9,12,,6,,4,,,,,,,
511,,15,,8,,,17,,,,,,,
492,10,3,,,9,6,2,2,10,,14,,7,12
497,17,12,,,12,10,3,,17,,7,,17,
598,,7,,,,,20,,,,,,,
578,,20,,,,,,,,,,,,
638,9,14,,14,,,2,,,10,,,,
609,7,12,,,2,20,12,,16,,3,,5,
472,16,6,,,15,,15,,,3,,,,
613,,13,,,13,8,12,5,8,,4,,13,2
627,,4,,2,,,,8,,,,,,
624,,11,,,14,6,7,,6,,7,,16,11
643,,13,,,,,,,,,,,,
509,,17,,,9,14,15,,6,5,2,,2,1
618,5,16,,,19,14,12,,,,,,,
585,,16,,,,,,,,,,,,
920,,11,,,,,,,,,,,,
740,,13,,11,16,18,10,,,,,,,
659,,5,,,4,20,3,,,8,,,,
792,,7,,14,12,,18,,,,,,,
673,,2,,1,,,1,,,,,,,
927,,10,,16,1,18,17,,14,,19,,19,
854,4,19,,12,5,12,1,7,9,,8,,8,2
1005,,18,,4,18,15,6,,8,8,,16,,
847,,18,,14,,,,8,,,,,,
658,,2,,,,,1,,,,,,,
704,16,8,,,3,11,1,,10,,12,,,
942,,16,,19,4,13,2,,2,,16,,8,15
974,,5,,,,,,,,,,,,
776,,20,,10,20,1,18,6,2,,12,,,
800,2,12,,,,,20,,,,,5,,
856,,6,,20,8,1,16,,5,,,,,
952,6,9,,6,14,6,10,,,7,,,,
1025,,1,,10,8,,6,11,,,,,,
969,16,19,,,8,12,20,,6,5,10,,7,
725,,9,,,,,,,,,,,,
1024,,5,,,14,6,19,,4,15,20,,9,18
758,,2,,,,,1,1,,,,,,
934,,7,,,2,,14,,,,,,,
788,2,8,,18,18,8,17,,11,,19,,16,10
775,,10,,,4,9,18,16,4,,8,,12,6
1111,9,8,,,4,5,14,,17,,6,,20,16
915,,2,,,,,,,,,,,,
1129,,9,10,,14,4,17,,9,,19,,5,14
1113,18,18,13,,20,8,11,,12,,13,,13,6
790,,13,,,1,12,11,,2,,13,,,
781,,13,,,,,,7,,,,,,
1095,,15,,,18,6,1,,11,,20,11,7,18
799,,5,11,,18,9,19,,20,,15,,9,20
677,,1,,,15,10,16,,2,,2,,11,10
1103,17,13,,,14,4,11,,17,1,3,,,
1044,,4,,,10,6,9,,8,15,6,,7,
835,,4,,5,11,2,3,14,,,,11,,
900,,2,,18,9,14,10,,6,,15,,,
1031,,6,,,5,14,2,,14,15,,,,
968,1,2,,,,,2,1,,,,,,
1108,,8,,,9,19,3,16,12,,,,,
834,18,20,,10,13,8,18,,5,,10,,11,19
1028,,7,,,,,8,10,,,,,,
999,16,4,,,19,7,20,,17,20,1,,8,
881,,1,,19,4,1,14,,15,9,3,,8,13
681,,10,,,,,,4,,,,,,
1004,2,2,,1,,,2,1,,,,,,
1066,2,8,,,17,,5,,,18,,,,
939,1,1,,2,,,2,,,,,1,,
1088,20,7,,,9,6,9,17,8,7,19,,1,8
873,,1,,,,,1,,,,,,,
678,,1,,,6,17,17,10,16,11,8,,10,19
717,,8,,,20,17,20,,12,,7,,20,20
754,17,8,,16,12,14,17,8,19,,6,20,14,5
1001,,19,,,,,,6,,,,,,
849,,2,,,19,3,12,,6,6,,,,
868,,11,,20,18,11,11,,18,,14,16,20,12
806,2,2,,,,,2,1,,,,,,
880,1,14,,7,,,1,18,,,,,,
1074,,9,,,17,10,4,,10,14,17,,20,4
896,,20,,,,,,,,,,,,
940,,1,,,,,2,,,,,,,
1059,,3,,,,,,,,,,,,
784,19,12,,,18,14,20,,17,,1,14,,
1064,,15,,,,,4,17,,,,,,
1015,19,11,,1,20,9,7,4,20,,3,,18,4
751,2,16,,,9,12,19,,16,20,7,,2,7
807,,5,,4,,,4,,,13,,,,
1130,,18,,,11,6,6,,3,,14,,2,4
1112,8,9,,,16,12,13,15,19,,8,,4,9
972,,11,14,,15,14,1,6,11,,,14,,
782,,6,,,9,17,19,,8,6,10,,17,15
898,,20,,8,15,2,3,,3,,20,,18,6
960,,10,3,,11,2,9,20,4,,5,,5,
838,2,1,7,10,5,4,6,2,14,6,20,,7,
1041,,20,,12,14,4,17,,,,,,,
931,4,20,,18,2,17,4,,2,8,13,,,
1079,,1,,,,,1,,,,,,,
814,19,14,,9,6,18,15,,18,,9,,,
785,,4,,,4,2,6,,,,,,,
925,,18,,16,20,,3,,,,,,,
669,2,13,,8,5,13,11,1,10,,16,,,
748,,7,,,1,,15,,,3,,,,
843,10,16,,,19,14,9,,8,,10,,,
916,3,5,,,13,15,10,,3,,13,,12,20
1087,9,3,,17,10,,6,8,,,,,,
827,,2,,,,,1,,,,,,,
1032,6,16,,,,,15,,,,,,,
771,,16,,,,,,,,,,,,
709,20,6,,,10,2,5,,1,,20,13,,
966,,9,,,,,1,,,,,,,
1090,,12,18,,9,5,4,17,1,5,12,,,
989,,17,,,7,15,11,,14,,10,,2,13
1017,6,13,,,,,1,20,,15,,,,
933,,19,,,,,2,17,,7,,,,
778,18,17,,9,20,16,9,,4,,,,,
1030,,14,,8,10,13,15,2,3,12,19,16,2,14
870,6,13,,,20,2,1,15,11,,2,,7,14
902,,15,,,9,14,18,,20,,1,,4,4
676,,2,,1,,,1,,,,,,,
1073,1,2,,,,,2,,,,,,,
815,,9,,,10,1,9,18,1,,19,4,14,19
791,1,1,,,,,,,,,,1,,
809,2,2,,,,,2,,,2,,1,,
935,8,12,,,4,4,13,,19,,20,,4,8
1118,14,3,,,5,,4,,,8,,,,
731,,2,,,9,13,9,20,5,,11,,6,16
813,19,19,,,7,,13,,,,,,,
650,,18,,,18,,13,,,,,,,
727,,15,,,14,6,12,,7,6,,,,
811,,2,,10,,,20,7,,,,,,
1105,,10,,13,13,18,17,,7,,10,,7,9
1019,,17,,,20,4,15,,6,,13,,16,7
667,,1,,,,,2,,,,,,,
1026,,9,,,19,,15,,,,,,,
779,,9,,2,,,16,,,,,,,
685,,13,,18,17,11,11,9,7,,14,,19,
842,16,10,,,17,,16,,,,,,,
1093,,4,,,,,6,,,1,,3,,
802,,2,,,3,11,17,,17,,6,15,1,16
693,12,5,,4,6,15,12,,9,,7,,2,9
869,,17,,,,,2,,,,,,,
687,,4,,17,8,4,4,,18,,18,18,9,4
1091,,12,,,,,11,,,,,,,
946,7,6,,,13,15,7,,,,,20,,
772,,16,,20,18,1,8,,17,20,11,,,
686,20,17,,13,8,4,17,8,12,,17,,2,17
672,,15,,,17,8,11,,14,,8,19,6,1
1067,5,16,,9,11,18,18,,17,,18,,3,12
995,2,2,,1,,,2,2,,,,,,
739,19,1,,,,,,,,,,,,
1063,,2,20,6,6,,9,,,,,18,,
970,,2,,,,,,,,17,,,,
990,,1,,,9,10,1,,1,,15,,14,3
943,,7,,12,,,17,10,,20,,,,
1062,,8,,,11,13,4,,9,,14,,,
803,2,5,,,,,20,,,,,,,
1086,,15,,,6,8,18,,5,,2,,16,
1084,,8,,,,,5,,,,,,,
824,,1,,,12,13,7,8,,,,,,
862,,3,,1,13,8,16,10,12,16,2,,2,8
755,,1,,,,,,15,,,,8,,
707,10,2,,,8,16,10,,14,19,16,13,6,7
1100,,20,,6,,,10,,,,,,,
657,,6,,,15,3,5,,20,,19,,6,14
1126,,17,,,,,,15,,10,,,,
958,,1,,,,,2,1,,2,,,,
1011,6,5,,12,13,3,7,,9,,11,,15,11
1042,,5,,19,12,9,9,,,,,1,,
679,,7,,,4,19,11,,15,,11,,8,15
706,,13,,,12,4,19,,15,,,,,
794,9,8,,17,1,8,14,17,17,3,9,,19,17
674,14,2,,,4,2,11,,17,,8,15,10,15
905,,18,,,13,15,3,,10,,18,20,19,6
1106,17,1,,,17,15,18,,13,,16,,,
1056,,13,,,3,16,18,18,5,13,6,,14,2
930,,4,,,20,18,9,10,2,,19,,20,7
1016,1,16,,5,3,1,15,9,18,13,,,,
955,,2,,,,,,,,,,,,
653,1,1,,1,,,1,,,,,,,
818,2,2,,,,,1,2,,2,,,,
787,2,2,,,,,1,,,1,,,,
837,,19,,,3,12,18,,18,1,4,8,,
665,,20,,,5,12,18,,10,12,17,,5,1
907,,4,,,15,1,9,,19,15,20,,1,15
922,,14,,,,,,,,,,,,
719,,7,,,12,18,6,,4,,,,,
992,8,17,,,9,7,3,,18,,14,15,3,4
713,15,2,,,,,,8,,,,,,
1128,,1,,,4,8,19,,12,,,,,
1027,16,3,,15,18,14,7,10,7,,1,,,
914,,12,,,13,14,8,17,,,,12,,
670,,16,,,,,,,,,,,,
656,,1,,10,19,9,8,,10,,,,,
1039,,7,,,14,5,1,,19,,6,,17,10
1035,,19,,,,,4,,,,,,,
852,,9,,,3,18,17,,20,,5,,6,14
769,,6,,,10,15,8,,2,10,20,,15,
795,,11,,,11,15,14,,1,,10,,2,1
884,,1,,12,,,,,,,,13,,
997,7,16,,,2,16,12,,11,,5,,16,16
694,,5,,,,,8,16,,,,,,
1036,19,1,,,9,12,3,,15,,1,3,17,14
1034,,6,,,,,5,16,,16,,,,
804,,14,,2,9,7,11,,14,,11,,9,11
980,,2,,2,,,1,2,,,,,,
741,,20,,4,14,20,13,7,18,,13,,4,16
1033,16,8,,,,,17,,,11,,,,
841,6,17,,,8,18,9,,,,,11,,
699,,1,,,,,,,,,,,,
949,,3,,,19,6,17,,10,,16,,10,20
780,11,16,,,,,,6,,,,,,
840,1,1,,1,,,2,,,,,,,
1101,14,11,,,17,3,12,,12,,13,3,18,2
1069,,4,,,4,,11,,,,,19,,
1098,,16,,,5,7,6,,16,6,,,,
774,,3,,,,,,,,,,,,
919,2,18,,,,,10,17,,5,,19,,
700,,19,,,6,17,3,,7,,3,,10,8
1047,,13,,,,,18,1,,,,,,
845,,9,,,,,,1,,,,,,
828,,19,,,10,11,12,,1,,18,,4,14
684,,5,,17,,,14,,,,,,,
793,,13,,,20,12,16,,15,,2,,15,1
652,9,19,,17,14,14,9,,3,,8,,2,1
660,,1,,,,,2,1,,,,,,
971,8,9,,,6,16,10,,13,,15,19,7,9
738,,9,,,5,19,5,,20,,20,,9,
1076,,11,,,15,10,3,,10,16,17,,14,20
830,,5,,,8,17,12,16,11,,,,,
921,12,8,,6,,,,,,,,,,
1045,,1,,,,,2,,,2,,,,
901,19,18,,,,,16,,,5,,,,
994,,17,,,,,6,,,,,,,
924,,14,,15,13,14,19,,14,,3,,3,1
945,,1,,2,,,2,,,,,,,
1102,,1,,1,,,1,,,,,,,
756,,5,,13,6,1,18,,8,,5,5,17,2
675,,10,,20,2,9,4,,4,,7,,11,17
